Province/State,Country,Lat,Long,ConfirmedCases,RecoveredCases,Deaths,
,Laos,19.85627,102.495496,19,19,0,#N/A
,Libya,26.3351,17.228331,2176,489,53,Libya
,West Bank and Gaza,31.9522,35.2332,9398,1950,66,West Bank and Gaza
,Guinea-Bissau,11.8037,-15.1804,1954,803,26,Guinea-Bissau
,Mali,17.570692,-3.996166,2494,1869,123,Mali
,Saint Kitts and Nevis,17.357822,-62.782998,17,15,0,#N/A
Northwest Territories,Canada,64.8255,-124.8457,5,0,0,Canada
Yukon,Canada,64.2823,-135,13,0,0,Canada
,Kosovo,42.602636,20.902977,6286,3369,150,Kosovo
,Myanmar,21.9162,95.956,343,280,6,Myanmar
Anguilla,United Kingdom,18.2206,-63.0686,3,3,0,United Kingdom
British Virgin Islands,United Kingdom,18.4207,-64.64,8,7,1,United Kingdom
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,82,22,2,United Kingdom
,Botswana,-22.3285,24.6849,522,48,1,Botswana
,Burundi,-3.3731,29.9189,328,207,1,Burundi
,Sierra Leone,8.460555,-11.779889,1731,1288,66,Sierra Leone
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,10,7,0,Netherlands
,Malawi,-13.2543,34.3015,3302,1282,76,Malawi
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13,13,0,United Kingdom
Saint Pierre and Miquelon,France,46.8852,-56.3159,4,1,0,France
,South Sudan,6.877,31.307,2211,1175,45,South Sudan
,Western Sahara,24.2155,-12.8858,10,8,1,#N/A
,Sao Tome and Principe,0.1864,6.6131,747,601,14,Sao Tome and Principe
,Yemen,15.552727,48.516388,1640,751,458,Yemen
,Comoros,-11.6455,43.3333,337,319,7,Comoros
,Tajikistan,38.861,71.2761,7015,5741,58,Tajikistan
,Lesotho,-29.61,28.2336,359,69,6,Lesotho
